source,type,timestamp,packet_id,src,dst,hops,from_dir,to_dir,creation_time,deliver_time,traffic,weight
packet,packet_arrived,2025-09-13 12:47:20.698986,61,"(1, 1)","(0, 0)",3,,,2025-09-13 12:47:05,2025-09-13 12:47:20,0.04,52.85
router,packet_routed,2025-09-13 12:47:21.210948,64,,,0,south,west,,,0.04,
router,packet_routed,2025-09-13 12:47:21.498709,65,,,0,local,south,,,0.04,
router,packet_routed,2025-09-13 12:47:23.041624,65,,,0,north,local,,,0.04,
router,packet_routed,2025-09-13 12:47:23.427548,66,,,0,local,south,,,0.04,
router,packet_routed,2025-09-13 12:47:23.489790,64,,,0,east,local,,,0.04,
packet,packet_arrived,2025-09-13 12:47:24.803112,63,"(1, 1)","(2, 2)",3,,,2025-09-13 12:47:10,2025-09-13 12:47:24,0.04,56.37
router,packet_routed,2025-09-13 12:47:25.649666,66,,,0,north,east,,,0.04,
router,packet_routed,2025-09-13 12:47:25.753960,67,,,0,local,north,,,0.04,
packet,packet_arrived,2025-09-13 12:47:26.358693,65,"(0, 0)","(1, 0)",2,,,2025-09-13 12:47:16,2025-09-13 12:47:26,0.04,34.17
packet,packet_arrived,2025-09-13 12:47:26.666963,64,"(1, 1)","(0, 0)",3,,,2025-09-13 12:47:13,2025-09-13 12:47:26,0.04,52.85
router,packet_routed,2025-09-13 12:47:27.506166,68,,,0,local,south,,,0.04,
router,packet_routed,2025-09-13 12:47:28.352428,66,,,0,west,local,,,0.04,
router,packet_routed,2025-09-13 12:47:28.536632,67,,,0,south,west,,,0.04,
router,packet_routed,2025-09-13 12:47:28.724329,69,,,0,local,south,,,0.04,
router,packet_routed,2025-09-13 12:47:29.945451,68,,,0,north,local,,,0.04,
router,packet_routed,2025-09-13 12:47:32.164207,67,,,0,east,local,,,0.04,
router,packet_routed,2025-09-13 12:47:32.573869,69,,,0,north,east,,,0.04,
router,packet_routed,2025-09-13 12:47:32.712748,70,,,0,local,north,,,0.04,
packet,packet_arrived,2025-09-13 12:47:33.696322,66,"(1, 1)","(2, 2)",3,,,2025-09-13 12:47:19,2025-09-13 12:47:33,0.04,56.37
router,packet_routed,2025-09-13 12:47:34.373006,69,,,0,west,local,,,0.04,
router,packet_routed,2025-09-13 12:47:34.774050,71,,,0,local,south,,,0.04,
packet,packet_arrived,2025-09-13 12:47:35.023325,68,"(0, 0)","(1, 0)",2,,,2025-09-13 12:47:23,2025-09-13 12:47:35,0.04,34.17
router,packet_routed,2025-09-13 12:47:35.376849,70,,,0,south,west,,,0.04,
packet,packet_arrived,2025-09-13 12:47:35.814177,67,"(1, 1)","(0, 0)",3,,,2025-09-13 12:47:21,2025-09-13 12:47:35,0.04,52.85
